"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"12/1/2009 0:00","40148","40148","0","3.485","1.832","72.3","0.2589","6.077","2.155","71.4","0.2342","3.512","2.289","73.8","0.455"
"12/1/2009 1:00","40148.04167","40148","0.041666667","3.485","2.209","70.7","0.2581","6.051","2.289","69.5","0.2334","3.485","2.45","72.7","0.455"
"12/1/2009 2:00","40148.08333","40148","0.083333333","3.459","1.697","72.2","0.2581","6","2.021","71.4","0.2327","3.485","1.994","73.7","0.4557"
"12/1/2009 3:00","40148.125","40148","0.125","3.459","1.425","72.8","0.2574","5.975","1.507","72.2","0.2327","3.459","1.724","74.3","0.455"
"12/1/2009 4:00","40148.16667","40148","0.166666667","3.433","0.825","84.8","0.2581","5.924","0.962","84.2","0.232","3.38","0.934","86.9","0.455"
"12/1/2009 5:00","40148.20833","40148","0.208333333","3.433","1.153","84.5","0.2567","5.898","1.262","83.7","0.2313","3.274","1.371","86.9","0.455"
"12/1/2009 6:00","40148.25","40148","0.25","3.38","1.371","85.9","0.2545","5.847","1.534","85.2","0.2313","3.142","1.534","88.5","0.4542"
"12/1/2009 7:00","40148.29167","40148","0.291666667","3.354","1.507","85.1","0.2552","5.821","1.778","83.8","0.2305","3.063","1.534","87.9","0.4542"
"12/1/2009 8:00","40148.33333","40148","0.333333333","3.327","2.155","83","0.2545","5.796","2.236","82","0.2305","2.956","2.289","85.6","0.4542"
"12/1/2009 9:00","40148.375","40148","0.375","3.327","2.85","83.8","0.2574","5.77","2.877","82.8","0.2298","3.036","3.168","86.4","0.455"
"12/1/2009 10:00","40148.41667","40148","0.416666667","3.354","3.827","81.2","0.2581","5.77","3.958","80.2","0.2298","3.221","3.932","83.1","0.4542"
"12/1/2009 11:00","40148.45833","40148","0.458333333","3.485","6.458","77.5","0.261","5.821","6.382","76.1","0.2291","3.512","6.889","78.7","0.455"
"12/1/2009 12:00","40148.5","40148","0.5","3.906","5.924","73.3","0.2603","5.898","5.565","72.7","0.2291","4.194","6.408","74.2","0.4542"
"12/1/2009 13:00","40148.54167","40148","0.541666667","4.298","6.331","70","0.2596","6","5.821","69.4","0.2284","4.74","6.56","71.1","0.4542"
"12/1/2009 14:00","40148.58333","40148","0.583333333","4.61","6.509","67.7","0.2589","6.051","6.153","67.2","0.2276","5.128","6.712","68.6","0.4535"
"12/1/2009 15:00","40148.625","40148","0.625","4.792","7.469","61.8","0.2581","6.128","6.94","60.3","0.2276","5.385","7.845","62.8","0.4542"
"12/1/2009 16:00","40148.66667","40148","0.666666667","4.818","6.051","60.2","0.2567","6.153","6.306","60","0.2269","5.539","5.847","62.3","0.4542"
"12/1/2009 17:00","40148.70833","40148","0.708333333","4.636","3.985","66.3","0.256","6.153","4.376","65.3","0.2269","5.308","3.009","69.5","0.4542"
"12/1/2009 18:00","40148.75","40148","0.75","4.35","2.503","74.5","0.2552","6.153","3.643","70.9","0.2262","4.895","1.262","81.7","0.4542"
"12/1/2009 19:00","40148.79167","40148","0.791666667","4.063","3.168","76","0.2552","6.128","3.301","76.1","0.2254","4.454","2.983","84.3","0.4542"
"12/1/2009 20:00","40148.83333","40148","0.833333333","3.906","2.021","76.9","0.2545","6.102","2.637","78.8","0.2254","4.35","0.989","84.9","0.4542"
"12/1/2009 21:00","40148.875","40148","0.875","3.749","1.697","81","0.2538","6.077","1.643","81.5","0.2254","4.089","2.074","88.4","0.4542"
"12/1/2009 22:00","40148.91667","40148","0.916666667","3.538","1.886","86.1","0.253","6.051","1.588","84.7","0.2247","3.775","0.495","89.6","0.4542"
"12/1/2009 23:00","40148.95833","40148","0.958333333","3.354","0.77","87.4","0.253","6.026","0.989","86.9","0.224","3.485","0.439","93","0.455"
"12/2/2009 0:00","40149","40149","0","3.168","0.024","90.1","0.2523","5.975","0.356","88.4","0.224","3.221","-0.395","93.8","0.455"
"12/2/2009 1:00","40149.04167","40149","0.041666667","3.009","-0.845","91","0.2523","5.924","-0.255","89.1","0.2233","2.983","-1.156","94.3","0.4557"
"12/2/2009 2:00","40149.08333","40149","0.083333333","2.85","-1.043","91.5","0.2516","5.872","-0.507","89.8","0.2233","2.744","-1.641","94.6","0.4557"
"12/2/2009 3:00","40149.125","40149","0.125","2.69","-1.526","91.8","0.2516","5.821","-0.845","90.1","0.2225","2.53","-1.469","94.8","0.4564"
"12/2/2009 4:00","40149.16667","40149","0.166666667","2.557","3.116","92.1","0.2523","5.745","1.751","90.6","0.2225","2.37","3.195","95.4","0.4564"
"12/2/2009 5:00","40149.20833","40149","0.208333333","2.477","2.717","90.1","0.2523","5.719","2.396","89.9","0.2225","2.37","2.289","93.3","0.4557"
"12/2/2009 6:00","40149.25","40149","0.25","2.396","2.423","90.5","0.2509","5.693","1.751","90.4","0.2218","2.37","1.751","94.2","0.4564"
"12/2/2009 7:00","40149.29167","40149","0.291666667","2.316","0.356","91.2","0.2509","5.668","0.825","91.1","0.2218","2.316","0.301","94.7","0.4564"
"12/2/2009 8:00","40149.33333","40149","0.333333333","2.236","0.051","92.3","0.2509","5.668","0.19","91","0.2211","2.236","0.495","95.1","0.4564"
"12/2/2009 9:00","40149.375","40149","0.375","2.182","3.538","92.4","0.2516","5.642","2.77","91.3","0.2218","2.182","3.168","95.6","0.4557"
"12/2/2009 10:00","40149.41667","40149","0.416666667","2.182","5.642","87.9","0.2509","5.642","5.642","88.4","0.2218","2.316","5.642","93.8","0.4557"
"12/2/2009 11:00","40149.45833","40149","0.458333333","2.236","8.369","82","0.2516","5.719","8.22","80.8","0.2211","2.717","8.07","87.6","0.4564"
