"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"11/1/2010 0:00","40483","40483","0","5.693","-2.508","79.3","0.2037","7.945","-1.27","77.4","0.0874","3.301","-2.77","83.7","1.6788"
"11/1/2010 1:00","40483.04167","40483","0.041666667","5.36","-2.015","81.8","0.2037","7.82","-1.071","79.4","0.0874","2.93","-1.842","85.9","2.5533"
"11/1/2010 2:00","40483.08333","40483","0.083333333","5.154","-0.986","80.6","0.2044","7.72","-0.311","78.7","0.0874","3.089","-0.423","84","1.819"
"11/1/2010 3:00","40483.125","40483","0.125","5.128","0.218","79.3","0.2044","7.645","0.605","77","0.0867","3.301","0.77","80.4","1.7173"
"11/1/2010 4:00","40483.16667","40483","0.166666667","5.128","-0.451","72.7","0.2044","7.594","0.439","72","0.086","3.38","0.163","72.5","1.7057"
"11/1/2010 5:00","40483.20833","40483","0.208333333","5.102","-1.871","74.5","0.2029","7.544","-0.873","73.2","0.0867","3.063","-2.015","76.1","1.6933"
"11/1/2010 6:00","40483.25","40483","0.25","4.869","-2.624","78.4","0.2029","7.469","-1.441","76.5","0.0867","2.584","-2.858","82.9","1.6853"
"11/1/2010 7:00","40483.29167","40483","0.291666667","4.61","-3.005","80.8","0.2029","7.368","-1.899","79.7","0.0867","2.236","-3.153","86.2","1.6781"
"11/1/2010 8:00","40483.33333","40483","0.333333333","4.376","-1.128","80.8","0.2029","7.293","-0.563","79.9","0.0867","2.074","-0.845","85.2","1.6752"
"11/1/2010 9:00","40483.375","40483","0.375","4.272","2.717","71.9","0.2037","7.217","1.262","71.4","0.0867","2.209","1.507","74.3","1.6766"
"11/1/2010 10:00","40483.41667","40483","0.416666667","4.402","3.749","61.3","0.2044","7.242","2.823","64","0.086","2.557","3.485","65.5","1.7122"
"11/1/2010 11:00","40483.45833","40483","0.458333333","4.792","5.796","56.8","0.2051","7.293","4.194","60.4","0.086","3.591","6.102","58.5","2.1117"
"11/1/2010 12:00","40483.5","40483","0.5","5.257","6.813","53","0.2058","7.444","4.921","56.9","0.0838","5.231","6.636","53.5","2.4654"
"11/1/2010 13:00","40483.54167","40483","0.541666667","5.668","6.357","50.4","0.2058","7.619","5.642","54.9","0.0831","7.116","7.594","50.8","2.5722"
"11/1/2010 14:00","40483.58333","40483","0.583333333","5.975","7.745","48.6","0.2051","7.77","6.433","52.8","0.0831","8.916","8.095","48.8","2.4996"
"11/1/2010 15:00","40483.625","40483","0.625","6.128","6.458","48.1","0.2044","7.82","6.484","50.8","0.0824","8.344","7.444","48.1","2.5722"
"11/1/2010 16:00","40483.66667","40483","0.666666667","6.128","6.23","51","0.2037","7.82","6.458","52.4","0.0824","7.293","6.763","51.6","2.5686"
"11/1/2010 17:00","40483.70833","40483","0.708333333","6.077","4.61","53.9","0.2037","7.82","5.437","54.3","0.0824","6.484","4.947","54.9","2.3514"
"11/1/2010 18:00","40483.75","40483","0.75","5.898","3.168","57.4","0.2029","7.795","3.932","57.9","0.0824","5.719","4.298","58","2.0144"
"11/1/2010 19:00","40483.79167","40483","0.791666667","5.693","2.074","62.2","0.2029","7.77","3.036","63.1","0.0824","5.102","3.142","62.1","1.8953"
"11/1/2010 20:00","40483.83333","40483","0.833333333","5.437","1.208","69.4","0.2022","7.72","2.396","66.4","0.0824","4.532","0.715","70.3","1.8422"
