"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"1/1/2010 0:00","40179","40179","0","-0.115","0.55","91.2","0.1303","0.522","0.577","90.8","0.2378","1.18","0.742","93.2","0.131"
"1/1/2010 1:00","40179.04167","40179","0.041666667","-0.115","0.632","90.5","0.131","0.522","0.797","89.5","0.2378","1.126","0.55","93","0.1318"
"1/1/2010 2:00","40179.08333","40179","0.083333333","-0.115","0.632","89.7","0.131","0.522","0.797","88.8","0.2378","1.099","0.605","92.4","0.1318"
"1/1/2010 3:00","40179.125","40179","0.125","-0.115","0.632","89.3","0.131","0.522","0.66","88.1","0.2378","1.099","0.522","92.2","0.1332"
"1/1/2010 4:00","40179.16667","40179","0.166666667","-0.115","0.356","88.9","0.1303","0.522","0.632","87.9","0.2378","1.071","0.522","91.9","0.1332"
"1/1/2010 5:00","40179.20833","40179","0.208333333","-0.115","0.687","88.5","0.1296","0.522","0.934","86.3","0.2378","1.071","0.825","90.9","0.1332"
"1/1/2010 6:00","40179.25","40179","0.25","-0.115","-0.115","83.6","0.1259","0.522","0.051","81.2","0.2378","1.044","-0.004","85.9","0.1339"
"1/1/2010 7:00","40179.29167","40179","0.291666667","-0.115","-0.535","82.2","0.1252","0.522","-0.367","79.7","0.2378","1.044","-0.563","84.2","0.1339"
"1/1/2010 8:00","40179.33333","40179","0.333333333","-0.115","-1.27","81.7","0.1245","0.55","-1.128","79.5","0.2371","1.071","-1.071","84","0.1347"
"1/1/2010 9:00","40179.375","40179","0.375","-0.115","-1.641","81.6","0.1238","0.55","-1.67","80.3","0.2371","1.071","-1.641","84.2","0.1339"
"1/1/2010 10:00","40179.41667","40179","0.416666667","-0.087","-1.928","83.2","0.1245","0.55","-2.159","82.2","0.2371","1.071","-1.327","85.6","0.1347"
"1/1/2010 11:00","40179.45833","40179","0.458333333","-0.087","-1.813","82.1","0.1267","0.55","-2.101","81.2","0.2371","1.099","-0.958","84","0.1347"
"1/1/2010 12:00","40179.5","40179","0.5","-0.087","-2.449","80.8","0.1274","0.55","-2.683","79.9","0.2363","1.153","-2.217","82.6","0.1354"
"1/1/2010 13:00","40179.54167","40179","0.541666667","-0.087","-1.355","81.1","0.1288","0.577","-1.813","80.6","0.2363","1.18","-1.27","82.8","0.1361"
"1/1/2010 14:00","40179.58333","40179","0.583333333","-0.087","-1.612","78.5","0.1274","0.577","-1.784","77.5","0.2363","1.208","-1.526","80.1","0.1361"
"1/1/2010 15:00","40179.625","40179","0.625","-0.087","-1.584","80.9","0.1274","0.577","-1.871","79.8","0.2363","1.208","-1.842","82.5","0.1368"
"1/1/2010 16:00","40179.66667","40179","0.666666667","-0.087","-2.015","81.2","0.1274","0.577","-2.188","80.3","0.2363","1.235","-1.67","82.8","0.1376"
"1/1/2010 17:00","40179.70833","40179","0.708333333","-0.087","-3.389","82.2","0.1245","0.577","-3.36","81.2","0.2363","1.235","-3.094","84.4","0.1376"
"1/1/2010 18:00","40179.75","40179","0.75","-0.087","-4.347","77.8","0.123","0.577","-4.287","76.8","0.2356","1.208","-4.226","79.7","0.1383"
"1/1/2010 19:00","40179.79167","40179","0.791666667","-0.087","-5.356","75.8","0.1209","0.577","-5.263","74.6","0.2356","1.18","-5.14","78.1","0.139"
"1/1/2010 20:00","40179.83333","40179","0.833333333","-0.087","-6.104","74.3","0.1194","0.577","-6.01","73.3","0.2356","1.126","-6.073","76.3","0.139"
"1/1/2010 21:00","40179.875","40179","0.875","-0.115","-6.833","71.5","0.1165","0.577","-6.737","70","0.2356","1.099","-6.737","73.1","0.139"
"1/1/2010 22:00","40179.91667","40179","0.916666667","-0.115","-7.283","72.2","0.1136","0.577","-7.186","71","0.2349","1.099","-7.122","73.7","0.139"
"1/1/2010 23:00","40179.95833","40179","0.958333333","-0.115","-7.477","72.4","0.1114","0.577","-7.38","71.4","0.2349","1.071","-7.315","74.1","0.1383"
"1/2/2010 0:00","40180","40180","0","-0.143","-8.132","72.3","0.1085","0.577","-8.066","71.3","0.2349","1.044","-7.869","74","0.1361"
"1/2/2010 1:00","40180.04167","40180","0.041666667","-0.171","-8.864","71.5","0.1049","0.577","-8.629","70.7","0.2342","1.044","-8.396","73.4","0.1339"
"1/2/2010 2:00","40180.08333","40180","0.083333333","-0.199","-9.575","71.2","0.102","0.577","-9.405","69.9","0.2334","1.044","-9.201","72.6","0.1303"
"1/2/2010 3:00","40180.125","40180","0.125","-0.255","-10.405","69.7","0.0983","0.577","-10.161","68.3","0.2327","1.044","-10.3","71.1","0.1259"
"1/2/2010 4:00","40180.16667","40180","0.166666667","-0.339","-11.218","68.9","0.0947","0.55","-10.969","67.5","0.2327","1.017","-11.004","70.3","0.1216"
"1/2/2010 5:00","40180.20833","40180","0.208333333","-0.423","-12.012","68.5","0.0911","0.55","-11.794","66.8","0.2313","0.989","-11.794","70","0.1172"
"1/2/2010 6:00","40180.25","40180","0.25","-0.507","-12.564","68.4","0.0882","0.522","-12.269","67.1","0.2305","0.989","-12.379","70.2","0.1136"
"1/2/2010 7:00","40180.29167","40180","0.291666667","-0.619","-14.588","69.9","0.0853","0.522","-14.042","68.6","0.2298","0.962","-13.964","71.8","0.11"
"1/2/2010 8:00","40180.33333","40180","0.333333333","-0.732","-16.367","74.5","0.0824","0.495","-15.749","72.7","0.2276","0.962","-16.036","76.4","0.1063"
"1/2/2010 9:00","40180.375","40180","0.375","-0.845","-16.119","75","0.0809","0.495","-15.995","73.1","0.2262","0.962","-15.546","77.2","0.1034"
"1/2/2010 10:00","40180.41667","40180","0.416666667","-0.929","-14.275","72.7","0.0809","0.467","-14.746","71.7","0.2247","0.962","-14.275","75.6","0.102"
"1/2/2010 11:00","40180.45833","40180","0.458333333","-0.901","-12.975","70.8","0.0824","0.467","-13.58","70.4","0.2225","0.962","-12.9","73.4","0.102"
"1/2/2010 12:00","40180.5","40180","0.5","-0.816","-11.289","67.3","0.0838","0.439","-11.794","66.4","0.2211","0.989","-11.146","68.9","0.1027"
"1/2/2010 13:00","40180.54167","40180","0.541666667","-0.76","-10.969","63.5","0.0824","0.412","-11.361","62.6","0.2196","1.017","-10.615","64.7","0.1027"
"1/2/2010 14:00","40180.58333","40180","0.583333333","-0.788","-10.792","61.5","0.0824","0.412","-10.756","61","0.2182","1.044","-9.816","62","0.102"
"1/2/2010 15:00","40180.625","40180","0.625","-0.873","-10.44","60.3","0.0809","0.384","-10.686","60.1","0.216","1.071","-10.231","60.5","0.1027"
"1/2/2010 16:00","40180.66667","40180","0.666666667","-0.901","-11.04","61.9","0.0816","0.384","-11.218","61.5","0.2138","1.071","-10.969","63.1","0.102"
"1/2/2010 17:00","40180.70833","40180","0.708333333","-0.958","-12.379","63.5","0.0795","0.356","-12.049","63","0.2116","1.071","-12.159","65","0.1012"
"1/2/2010 18:00","40180.75","40180","0.75","-1.043","-12.416","66.2","0.0787","0.356","-12.306","65.6","0.2095","1.044","-12.085","67.8","0.0991"
"1/2/2010 19:00","40180.79167","40180","0.791666667","-1.099","-11.976","66.4","0.078","0.329","-12.085","65.7","0.2073","1.017","-11.83","67.9","0.0983"
"1/2/2010 20:00","40180.83333","40180","0.833333333","-1.128","-12.232","68.3","0.078","0.329","-12.306","67.5","0.2058","0.989","-11.939","69.9","0.0976"
"1/2/2010 21:00","40180.875","40180","0.875","-1.156","-12.159","73.4","0.0795","0.301","-12.159","72.8","0.2037","0.962","-11.939","75.4","0.0969"
"1/2/2010 22:00","40180.91667","40180","0.916666667","-1.156","-11.939","72.8","0.0787","0.301","-11.903","71.8","0.2022","0.934","-11.83","74.5","0.0969"
"1/2/2010 23:00","40180.95833","40180","0.958333333","-1.156","-11.939","73","0.078","0.301","-11.939","72.1","0.2","0.934","-11.721","74.9","0.0969"
