"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"5/1/2010 0:00","40299","40299","0","10.222","9.287","58.1","0.1201","8.593","10.051","57.6","0.0758","13.978","10.271","59.2","0.4477"
"5/1/2010 1:00","40299.04167","40299","0.041666667","9.952","9.188","61.7","0.1194","8.543","9.632","62.4","0.0758","13.546","9.657","63.5","0.4477"
"5/1/2010 2:00","40299.08333","40299","0.083333333","9.731","8.866","66.6","0.1209","8.494","9.262","66.3","0.0758","13.161","9.262","68.4","0.4484"
"5/1/2010 3:00","40299.125","40299","0.125","9.632","8.494","67.9","0.1201","8.444","8.965","67.6","0.0758","12.847","8.891","70.1","0.4484"
"5/1/2010 4:00","40299.16667","40299","0.166666667","9.534","9.139","71.6","0.1201","8.394","9.139","70.9","0.0758","12.606","9.78","71.9","0.4492"
"5/1/2010 5:00","40299.20833","40299","0.208333333","9.558","9.756","71.9","0.1216","8.344","9.682","71.5","0.0758","12.389","10.59","71","0.4492"
"5/1/2010 6:00","40299.25","40299","0.25","9.608","10.98","72.8","0.1216","8.319","10.443","72.1","0.0766","12.243","11.053","71.2","0.4492"
"5/1/2010 7:00","40299.29167","40299","0.291666667","9.756","12.63","66","0.1216","8.344","11.832","67.6","0.0758","12.147","13.305","68.4","0.4484"
"5/1/2010 8:00","40299.33333","40299","0.333333333","10.1","15.533","60.5","0.1223","8.394","14.218","63.5","0.0758","12.147","16.106","62.5","0.4477"
"5/1/2010 9:00","40299.375","40299","0.375","10.614","14.912","57.7","0.1209","8.494","14.96","59.9","0.0751","12.243","15.055","60.9","0.4477"
"5/1/2010 10:00","40299.41667","40299","0.416666667","10.98","16.534","57.4","0.1187","8.618","15.557","59.4","0.0751","12.437","16.701","59.7","0.447"
"5/1/2010 11:00","40299.45833","40299","0.458333333","11.321","19.698","68.2","0.1223","8.717","18.224","69.9","0.0751","12.703","16.606","70.9","0.4477"
"5/1/2010 12:00","40299.5","40299","0.5","11.613","13.93","80.6","0.1303","8.841","12.871","82.1","0.0751","12.992","14.194","85.7","0.4477"
"5/1/2010 13:00","40299.54167","40299","0.541666667","12.05","19.46","81.7","0.1267","8.965","18.319","84.9","0.0751","13.233","19.413","85.2","0.447"
"5/1/2010 14:00","40299.58333","40299","0.583333333","12.703","19.888","76.3","0.1238","9.163","19.08","79.3","0.0744","13.57","20.031","78.3","0.4463"
"5/1/2010 15:00","40299.625","40299","0.625","13.161","21.103","73.9","0.1238","9.336","19.627","76.9","0.0744","13.93","21.437","75.9","0.4455"
"5/1/2010 16:00","40299.66667","40299","0.666666667","13.594","23.376","65.1","0.123","9.534","22.585","68.6","0.0736","14.314","23.761","66.1","0.4455"
"5/1/2010 17:00","40299.70833","40299","0.708333333","13.882","22.154","63.3","0.1209","9.731","21.509","64.6","0.0729","14.721","22.609","65.3","0.4448"
"5/1/2010 18:00","40299.75","40299","0.75","13.978","22.537","59.1","0.1209","9.903","22.106","61.9","0.0729","15.079","22.896","59.5","0.4448"
"5/1/2010 19:00","40299.79167","40299","0.791666667","13.882","20.793","63.5","0.1194","10.026","20.984","65.2","0.0722","15.366","21.7","64.3","0.4455"
"5/1/2010 20:00","40299.83333","40299","0.833333333","13.57","20.126","68.5","0.1187","10.124","20.746","68.8","0.0722","15.557","20.936","69.4","0.4455"
"5/1/2010 21:00","40299.875","40299","0.875","13.233","19.627","71.3","0.1194","10.198","20.269","70.8","0.0715","15.629","20.15","72.6","0.4455"
"5/1/2010 22:00","40299.91667","40299","0.916666667","12.871","19.032","72.7","0.1187","10.247","19.318","72.2","0.0715","15.629","19.127","74.6","0.4455"
"5/1/2010 23:00","40299.95833","40299","0.958333333","12.63","17.558","76.5","0.118","10.271","17.938","76.4","0.0707","15.581","17.368","79.5","0.4455"
"5/2/2010 0:00","40300","40300","0","12.364","15.652","83.1","0.1187","10.296","16.463","82.2","0.0707","15.485","15.438","87.4","0.4463"
