"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"11/1/2009 0:00","40118","40118","0","9.485","7.116","71.3","0.2429","9.682","7.494","69.2","0.187","NULL","NULL","NULL","NULL"
"11/1/2009 1:00","40118.04167","40118","0.041666667","9.361","7.015","67.6","0.2429","9.608","7.419","64.1","0.187","NULL","NULL","NULL","NULL"
"11/1/2009 2:00","40118.08333","40118","0.083333333","9.262","6.56","64.3","0.2422","9.534","7.167","61","0.1862","NULL","NULL","NULL","NULL"
"11/1/2009 3:00","40118.125","40118","0.125","9.139","6.458","63.1","0.2414","9.46","6.839","59.7","0.1862","NULL","NULL","NULL","NULL"
"11/1/2009 4:00","40118.16667","40118","0.166666667","9.015","5.949","64.2","0.2407","9.386","6.636","60.5","0.1855","NULL","NULL","NULL","NULL"
"11/1/2009 5:00","40118.20833","40118","0.208333333","8.891","5.257","67.6","0.24","9.312","6.382","62.7","0.1855","NULL","NULL","NULL","NULL"
"11/1/2009 6:00","40118.25","40118","0.25","8.717","5.334","70.3","0.2392","9.262","6.051","65.1","0.1855","NULL","NULL","NULL","NULL"
"11/1/2009 7:00","40118.29167","40118","0.291666667","8.568","4.869","74.5","0.2392","9.188","5.668","69.6","0.1848","NULL","NULL","NULL","NULL"
"11/1/2009 8:00","40118.33333","40118","0.333333333","8.469","5.872","76.1","0.24","9.139","6.179","71.6","0.184","NULL","NULL","NULL","NULL"
"11/1/2009 9:00","40118.375","40118","0.375","8.494","7.82","69.9","0.2414","9.114","7.091","67.8","0.184","NULL","NULL","NULL","NULL"
"11/1/2009 10:00","40118.41667","40118","0.416666667","8.717","8.941","65.8","0.2407","9.089","7.92","66.4","0.1833","NULL","NULL","NULL","NULL"
"11/1/2009 11:00","40118.45833","40118","0.458333333","9.015","8.891","61.9","0.2407","9.114","8.245","62.5","0.1833","NULL","NULL","NULL","NULL"
"11/1/2009 12:00","40118.5","40118","0.5","9.287","9.213","59.1","0.24","9.139","8.568","60.2","0.1826","NULL","NULL","NULL","NULL"
"11/1/2009 13:00","40118.54167","40118","0.541666667","9.509","9.805","59.3","0.24","9.139","8.817","60.3","0.1819","NULL","NULL","NULL","NULL"
"11/1/2009 14:00","40118.58333","40118","0.583333333","9.682","10.026","57.4","0.24","9.163","9.287","59","0.1811","NULL","NULL","NULL","NULL"
"11/1/2009 15:00","40118.625","40118","0.625","9.829","9.287","55","0.2385","9.213","9.287","57","0.1804","NULL","NULL","NULL","NULL"
"11/1/2009 16:00","40118.66667","40118","0.666666667","9.756","9.139","56.1","0.2378","9.213","9.015","58.4","0.1804","NULL","NULL","NULL","NULL"
"11/1/2009 17:00","40118.70833","40118","0.708333333","9.534","7.67","60.8","0.2363","9.238","8.319","61","0.1797","NULL","NULL","NULL","NULL"
"11/1/2009 18:00","40118.75","40118","0.75","9.287","6.306","69.7","0.2356","9.238","7.268","67","0.179","NULL","NULL","NULL","NULL"
"11/1/2009 19:00","40118.79167","40118","0.791666667","8.941","6.585","73.3","0.2363","9.213","6.99","72.8","0.179","NULL","NULL","NULL","NULL"
"11/1/2009 20:00","40118.83333","40118","0.833333333","8.668","5.154","76.1","0.2349","9.163","6.281","75.2","0.1782","NULL","NULL","NULL","NULL"
"11/1/2009 21:00","40118.875","40118","0.875","8.394","4.662","79.1","0.2342","9.114","5.437","78","0.1775","NULL","NULL","NULL","NULL"
"11/1/2009 22:00","40118.91667","40118","0.916666667","8.12","4.558","82.8","0.2349","9.064","5.179","80.4","0.1775","NULL","NULL","NULL","NULL"
"11/1/2009 23:00","40118.95833","40118","0.958333333","7.92","3.696","83.4","0.2334","9.015","4.921","81","0.1768","NULL","NULL","NULL","NULL"
"11/2/2009 0:00","40119","40119","0","7.695","2.61","87.1","0.2327","8.941","3.722","83.5","0.1768","NULL","NULL","NULL","NULL"
"11/2/2009 1:00","40119.04167","40119","0.041666667","7.368","1.886","89.4","0.2334","8.866","2.93","86.2","0.1768","NULL","NULL","NULL","NULL"
"11/2/2009 2:00","40119.08333","40119","0.083333333","7.091","1.453","90.2","0.2327","8.792","2.503","87.2","0.1768","NULL","NULL","NULL","NULL"
"11/2/2009 3:00","40119.125","40119","0.125","6.813","0.989","90.7","0.2327","8.693","1.913","87.8","0.1761","NULL","NULL","NULL","NULL"
"11/2/2009 4:00","40119.16667","40119","0.166666667","6.585","0.742","91.2","0.2334","8.568","1.67","88.4","0.1761","NULL","NULL","NULL","NULL"
"11/2/2009 5:00","40119.20833","40119","0.208333333","6.357","0.384","91.4","0.2334","8.469","1.371","88.6","0.1761","NULL","NULL","NULL","NULL"
"11/2/2009 6:00","40119.25","40119","0.25","6.153","0.079","91.7","0.2342","8.369","1.344","89","0.1753","NULL","NULL","NULL","NULL"
"11/2/2009 7:00","40119.29167","40119","0.291666667","5.949","0.246","91.9","0.2342","8.245","1.344","88.3","0.1753","NULL","NULL","NULL","NULL"
"11/2/2009 8:00","40119.33333","40119","0.333333333","5.796","1.534","91.6","0.2356","8.145","2.074","87.8","0.1753","NULL","NULL","NULL","NULL"
"11/2/2009 9:00","40119.375","40119","0.375","5.719","5.693","89.3","0.2363","8.07","4.999","86","0.1753","NULL","NULL","NULL","NULL"
"11/2/2009 10:00","40119.41667","40119","0.416666667","5.924","9.139","80.3","0.2363","8.095","8.817","79.7","0.1761","NULL","NULL","NULL","NULL"
"11/2/2009 11:00","40119.45833","40119","0.458333333","6.484","10.834","71.1","0.2371","8.245","9.903","69.8","0.1761","6.382","11.759","67.7","0.4492"
"11/2/2009 12:00","40119.5","40119","0.5","7.242","10.81","65.8","0.2371","8.469","10.1","66.2","0.1753","6.94","11.516","65.8","0.4492"
"11/2/2009 13:00","40119.54167","40119","0.541666667","7.92","10.59","66.5","0.2363","8.717","9.952","67.1","0.1753","8.07","11.516","67.9","0.4492"
"11/2/2009 14:00","40119.58333","40119","0.583333333","8.369","11.297","65.1","0.2363","8.841","10.345","65.9","0.1746","8.817","11.54","65.3","0.4484"
"11/2/2009 15:00","40119.625","40119","0.625","8.668","10.883","63","0.2356","8.891","10.32","63.3","0.1739","9.312","11.248","64.2","0.4477"
"11/2/2009 16:00","40119.66667","40119","0.666666667","8.817","10.075","64.5","0.2349","8.916","10.075","63.9","0.1732","9.534","10.1","66.2","0.447"
"11/2/2009 17:00","40119.70833","40119","0.708333333","8.841","9.04","72.9","0.2349","8.941","9.41","72.3","0.1732","9.583","9.583","74.4","0.447"
"11/2/2009 18:00","40119.75","40119","0.75","8.742","7.167","80.3","0.2458","8.941","7.343","79.4","0.1732","9.534","7.444","81.6","0.4441"
"11/2/2009 19:00","40119.79167","40119","0.791666667","8.593","7.116","88.8","0.2552","8.941","7.217","88.2","0.1724","9.41","7.419","91.4","0.4441"
"11/2/2009 20:00","40119.83333","40119","0.833333333","8.519","6.94","90.6","0.2516","8.916","7.217","89.5","0.1724","9.287","7.368","92.9","0.4441"
"11/2/2009 21:00","40119.875","40119","0.875","8.444","7.015","91","0.2552","8.916","7.217","89.8","0.1724","9.163","7.318","93.7","0.4448"
"11/2/2009 22:00","40119.91667","40119","0.916666667","8.394","6.965","90.3","0.2552","8.891","7.116","89.6","0.1724","9.089","7.318","93.3","0.4448"
"11/2/2009 23:00","40119.95833","40119","0.958333333","8.344","6.99","90.6","0.2545","8.866","7.116","90","0.1724","9.015","7.419","92.3","0.4448"
"11/3/2009 0:00","40120","40120","0","8.295","6","90.1","0.2538","8.866","6.661","89.5","0.1724","8.941","6.864","90.7","0.4448"
"11/3/2009 1:00","40120.04167","40120","0.041666667","8.195","6.102","92","0.2538","8.841","7.041","88.3","0.1724","8.841","7.091","91.5","0.4448"
"11/3/2009 2:00","40120.08333","40120","0.083333333","8.045","5.36","92.4","0.2523","8.841","7.444","87.3","0.1717","8.717","6.255","92","0.4448"
"11/3/2009 3:00","40120.125","40120","0.125","7.82","7.318","92.2","0.2516","8.841","7.82","86","0.1717","8.543","7.77","92.4","0.4455"
"11/3/2009 4:00","40120.16667","40120","0.166666667","7.695","6.102","82.5","0.2501","8.792","6.611","78.1","0.1717","8.394","6.56","83","0.4455"
"11/3/2009 5:00","40120.20833","40120","0.208333333","7.645","5.514","77.1","0.2472","8.742","5.796","73.6","0.1717","8.245","5.334","78.4","0.4455"
"11/3/2009 6:00","40120.25","40120","0.25","7.519","3.327","76.9","0.2436","8.668","4.532","73.8","0.171","8.095","3.775","78","0.4455"
"11/3/2009 7:00","40120.29167","40120","0.291666667","7.293","2.343","78.8","0.2422","8.543","3.775","72.8","0.171","7.795","1.643","82","0.4463"
"11/3/2009 8:00","40120.33333","40120","0.333333333","7.015","3.617","81.6","0.2407","8.419","4.35","75.8","0.171","7.393","3.854","84.3","0.4463"
"11/3/2009 9:00","40120.375","40120","0.375","6.839","7.469","77","0.2414","8.344","6.585","74.3","0.171","7.091","7.318","79.1","0.447"
"11/3/2009 10:00","40120.41667","40120","0.416666667","6.914","7.77","68.6","0.2385","8.319","7.167","67.2","0.1702","6.965","7.77","69.9","0.447"
"11/3/2009 11:00","40120.45833","40120","0.458333333","7.293","8.295","65.6","0.2385","8.319","7.67","64.5","0.1702","7.217","8.519","66.7","0.447"
"11/3/2009 12:00","40120.5","40120","0.5","7.695","8.22","61.5","0.2385","8.319","7.67","61.1","0.1702","7.645","8.916","62.5","0.447"
"11/3/2009 13:00","40120.54167","40120","0.541666667","8.045","9.46","59.4","0.2371","8.344","8.568","59","0.1695","8.045","10.394","60","0.447"
"11/3/2009 14:00","40120.58333","40120","0.583333333","8.27","8.07","51.8","0.2378","8.369","7.895","51.8","0.1688","8.593","8.568","52.6","0.447"
"11/3/2009 15:00","40120.625","40120","0.625","8.295","7.77","55.2","0.2356","8.344","7.544","55.5","0.1688","8.99","8.319","56.7","0.447"
"11/3/2009 16:00","40120.66667","40120","0.666666667","8.245","6.102","66.6","0.2356","8.295","6.153","66.4","0.1681","9.015","6.179","68.7","0.447"
"11/3/2009 17:00","40120.70833","40120","0.708333333","8.12","5.847","69.2","0.2349","8.27","6.23","66.9","0.1673","8.841","6.051","71.7","0.447"
"11/3/2009 18:00","40120.75","40120","0.75","7.92","4.141","71.5","0.2327","8.22","5.231","68.2","0.1673","8.568","4.766","74.2","0.4477"
"11/3/2009 19:00","40120.79167","40120","0.791666667","7.645","3.854","72.2","0.2327","8.17","4.584","69.8","0.1673","8.22","4.037","74.8","0.4477"
"11/3/2009 20:00","40120.83333","40120","0.833333333","7.368","2.637","77.7","0.232","8.095","3.827","74.6","0.1666","7.895","2.584","80.6","0.4477"
"11/3/2009 21:00","40120.875","40120","0.875","7.041","1.778","81.7","0.2305","8.02","3.195","76.5","0.1666","7.519","1.859","84.4","0.4484"
"11/3/2009 22:00","40120.91667","40120","0.916666667","6.687","0.715","84","0.2291","7.92","2.396","78.1","0.1666","7.091","1.208","86.5","0.4484"
"11/3/2009 23:00","40120.95833","40120","0.958333333","6.357","0.495","86","0.2298","7.845","2.128","80.4","0.1659","6.687","1.317","88.2","0.4484"
"11/4/2009 0:00","40121","40121","0","6.026","0.246","87.4","0.2298","7.77","1.724","81.3","0.1659","6.331","0.384","88.2","0.4484"
"11/4/2009 1:00","40121.04167","40121","0.041666667","5.745","0.273","87.7","0.2284","7.67","1.67","81.5","0.1659","6.026","-0.255","90.7","0.4484"
"11/4/2009 2:00","40121.08333","40121","0.083333333","5.488","-0.283","87.9","0.2284","7.594","1.344","82.3","0.1652","5.719","0.55","90.6","0.4492"
"11/4/2009 3:00","40121.125","40121","0.125","5.282","-0.563","89.3","0.2276","7.519","0.852","84","0.1652","5.462","-0.423","91.5","0.4492"
"11/4/2009 4:00","40121.16667","40121","0.166666667","5.102","-0.958","90.2","0.2276","7.419","-0.059","85.7","0.1652","5.231","-0.845","92.7","0.4499"
"11/4/2009 5:00","40121.20833","40121","0.208333333","4.947","-1.213","90.9","0.2276","7.343","-0.115","87.3","0.1652","5.05","-1.184","93.2","0.4499"
"11/4/2009 6:00","40121.25","40121","0.25","4.792","-1.412","91.5","0.2269","7.268","-0.451","88.2","0.1652","4.844","-1.698","93.7","0.4506"
"11/4/2009 7:00","40121.29167","40121","0.291666667","4.636","-1.871","91.7","0.2276","7.167","-0.675","88.6","0.1652","4.636","-1.355","94.1","0.4506"
"11/4/2009 8:00","40121.33333","40121","0.333333333","4.506","-0.059","91.9","0.2305","7.091","0.384","88.9","0.1652","4.428","0.273","94.4","0.4499"
"11/4/2009 9:00","40121.375","40121","0.375","4.48","2.423","90.1","0.2349","7.015","2.182","86.2","0.1652","4.402","2.877","92.7","0.4506"
"11/4/2009 10:00","40121.41667","40121","0.416666667","4.636","4.688","82.6","0.2349","7.015","4.22","79.9","0.1652","4.61","5.05","84.2","0.4499"
"11/4/2009 11:00","40121.45833","40121","0.458333333","5.076","5.745","76.5","0.2342","7.041","5.154","74","0.1652","4.999","6.509","77.8","0.4499"
"11/4/2009 12:00","40121.5","40121","0.5","5.642","6.813","71.8","0.2334","7.116","6.051","70.6","0.1652","5.565","7.469","72.5","0.4499"
"11/4/2009 13:00","40121.54167","40121","0.541666667","6.153","6.509","71.1","0.2327","7.217","5.949","70.9","0.1652","6.204","7.167","72.2","0.4492"
"11/4/2009 14:00","40121.58333","40121","0.583333333","6.535","6.306","71.4","0.232","7.293","5.898","71.2","0.1644","6.661","7.091","72.7","0.4492"
"11/4/2009 15:00","40121.625","40121","0.625","6.737","5.872","69.4","0.232","7.318","5.591","68.8","0.1644","6.965","6.255","70.5","0.4484"
"11/4/2009 16:00","40121.66667","40121","0.666666667","6.813","5.076","68.7","0.2313","7.343","5.05","67.3","0.1644","7.116","5.385","71","0.4484"
"11/4/2009 17:00","40121.70833","40121","0.708333333","6.813","3.854","80.6","0.2371","7.343","4.011","78.5","0.1637","7.142","4.246","83","0.4477"
"11/4/2009 18:00","40121.75","40121","0.75","6.737","3.248","86.6","0.2429","7.343","3.433","83.9","0.1637","7.041","3.801","88.7","0.4463"
"11/4/2009 19:00","40121.79167","40121","0.791666667","6.636","3.406","89.3","0.2487","7.318","3.459","88.2","0.1637","6.889","3.564","91.6","0.4463"
"11/4/2009 20:00","40121.83333","40121","0.833333333","6.535","3.564","90.3","0.2487","7.293","3.512","89.3","0.1644","6.788","3.617","92.7","0.4463"
"11/4/2009 21:00","40121.875","40121","0.875","6.484","3.696","90.1","0.2589","7.268","3.617","89.5","0.1652","6.687","3.67","93.3","0.4463"
"11/4/2009 22:00","40121.91667","40121","0.916666667","6.433","3.617","91","0.2509","7.242","3.67","90.1","0.1652","6.636","3.88","93.6","0.4463"
"11/4/2009 23:00","40121.95833","40121","0.958333333","6.433","3.643","91.6","0.2494","7.242","3.801","90.4","0.1659","6.585","4.063","94","0.4463"
"11/5/2009 0:00","40122","40122","0","6.433","3.722","92.1","0.2501","7.242","3.801","90.9","0.1673","6.56","4.089","94.3","0.4463"
"11/5/2009 1:00","40122.04167","40122","0.041666667","6.408","3.88","92.4","0.256","7.217","4.089","91.1","0.1681","6.56","4.194","94.7","0.447"
"11/5/2009 2:00","40122.08333","40122","0.083333333","6.408","3.643","92.5","0.256","7.217","3.827","90.9","0.1702","6.535","3.932","94.5","0.447"
"11/5/2009 3:00","40122.125","40122","0.125","6.382","3.248","92.6","0.2581","7.192","3.617","90.8","0.1732","6.535","3.538","94.5","0.447"
