"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"10/1/2009 0:00","40087","40087","0","11.88","6.408","73.6","0.2305","11.151","6.763","70.3","0.1412","9.829","6.965","74.9","0.4499"
"10/1/2009 1:00","40087.04167","40087","0.041666667","11.783","6.281","77.1","0.2305","11.078","6.712","72.8","0.1405","9.731","6.94","77.5","0.4499"
"10/1/2009 2:00","40087.08333","40087","0.083333333","11.71","6.306","76.3","0.2298","11.005","6.687","73.9","0.1405","9.657","6.737","77.5","0.4484"
"10/1/2009 3:00","40087.125","40087","0.125","11.613","6.102","79.2","0.2298","10.956","6.509","75.9","0.1397","9.534","6.687","80","0.4484"
"10/1/2009 4:00","40087.16667","40087","0.166666667","11.54","6.153","80.9","0.2291","10.907","6.458","78","0.1397","9.485","6.56","81.6","0.4484"
"10/1/2009 5:00","40087.20833","40087","0.208333333","11.443","5.076","78.6","0.2284","10.858","5.591","75.6","0.139","9.336","5.616","79.6","0.4484"
"10/1/2009 6:00","40087.25","40087","0.25","11.224","3.854","82.9","0.2276","10.761","5.334","76.7","0.1383","9.015","4.454","83","0.4484"
"10/1/2009 7:00","40087.29167","40087","0.291666667","10.956","4.35","84.6","0.2284","10.663","5.745","75.5","0.1383","8.717","5.282","83.2","0.4477"
"10/1/2009 8:00","40087.33333","40087","0.333333333","10.736","3.854","86.5","0.2276","10.59","4.688","80.4","0.1376","8.543","4.688","85.8","0.4477"
"10/1/2009 9:00","40087.375","40087","0.375","10.565","7.167","85.4","0.2291","10.541","6.763","81.1","0.1376","8.519","7.695","84.1","0.4477"
"10/1/2009 10:00","40087.41667","40087","0.416666667","10.785","8.543","74.1","0.2305","10.516","7.645","73.1","0.1368","8.965","8.841","75.6","0.4477"
"10/1/2009 11:00","40087.45833","40087","0.458333333","11.2","11.394","68.4","0.2327","10.565","9.238","71.2","0.1368","9.657","11.977","70.6","0.4477"
"10/1/2009 12:00","40087.5","40087","0.5","11.686","11.297","64.7","0.2313","10.663","10.001","67.2","0.1361","10.492","11.443","66.6","0.4477"
"10/1/2009 13:00","40087.54167","40087","0.541666667","12.122","11.37","63.3","0.2305","10.761","10.394","63.4","0.1347","11.127","11.613","65.3","0.4477"
"10/1/2009 14:00","40087.58333","40087","0.583333333","12.389","12.63","63.3","0.2305","10.834","11.175","61.9","0.1339","11.467","12.582","65.4","0.4477"
"10/1/2009 15:00","40087.625","40087","0.625","12.654","11.759","59.4","0.2298","10.907","11.419","59.6","0.1325","11.929","12.05","61.7","0.4477"
"10/1/2009 16:00","40087.66667","40087","0.666666667","12.775","10.638","65.2","0.2284","10.98","10.712","61.4","0.1318","12.05","11.297","64.3","0.4484"
"10/1/2009 17:00","40087.70833","40087","0.708333333","12.703","11.248","68.4","0.2291","11.029","10.687","66.9","0.1303","11.807","11.394","68.3","0.4477"
"10/1/2009 18:00","40087.75","40087","0.75","12.678","10.736","68","0.2276","11.078","10.418","69.1","0.1296","11.783","11.005","70.4","0.4484"
"10/1/2009 19:00","40087.79167","40087","0.791666667","12.582","8.419","72.3","0.2269","11.102","9.287","72.8","0.1288","11.637","9.78","71.3","0.4477"
"10/1/2009 20:00","40087.83333","40087","0.833333333","12.364","7.469","79.9","0.2262","11.102","8.419","77.1","0.1281","11.297","8.568","77.1","0.4484"
"10/1/2009 21:00","40087.875","40087","0.875","12.098","8.369","82.3","0.2262","11.078","9.213","79.3","0.1274","11.029","9.657","78.5","0.4484"
"10/1/2009 22:00","40087.91667","40087","0.916666667","11.929","8.444","83.3","0.2262","11.053","8.717","80.6","0.1274","10.883","9.188","79.4","0.4477"
"10/1/2009 23:00","40087.95833","40087","0.958333333","11.832","7.72","83.3","0.2262","11.029","8.319","82.1","0.1267","10.736","8.866","81.4","0.4477"
"10/2/2009 0:00","40088","40088","0","11.662","5.693","86.7","0.224","11.005","6.889","83.1","0.1267","10.565","6.153","85.4","0.4484"
"10/2/2009 1:00","40088.04167","40088","0.041666667","11.248","4.895","89.6","0.224","10.932","6.23","86","0.1259","10.075","5.616","91.4","0.4484"
"10/2/2009 2:00","40088.08333","40088","0.083333333","10.858","4.35","91.2","0.224","10.834","5.514","87.5","0.1259","9.632","4.454","92.7","0.4484"
"10/2/2009 3:00","40088.125","40088","0.125","10.467","4.141","91.7","0.224","10.712","5.282","88.2","0.1259","9.188","4.194","93.6","0.4484"
"10/2/2009 4:00","40088.16667","40088","0.166666667","10.149","3.985","92","0.2247","10.614","4.947","88.6","0.1259","8.841","4.194","94.2","0.4484"
"10/2/2009 5:00","40088.20833","40088","0.208333333","9.928","3.932","92.3","0.2254","10.492","4.921","88.9","0.1252","8.593","4.194","94.4","0.4477"
"10/2/2009 6:00","40088.25","40088","0.25","9.78","4.35","92.6","0.2254","10.394","5.282","89.1","0.1252","8.419","5.231","94.7","0.4477"
"10/2/2009 7:00","40088.29167","40088","0.291666667","9.731","5.024","92.7","0.2262","10.32","5.898","89.2","0.1252","8.419","5.949","94.8","0.4477"
"10/2/2009 8:00","40088.33333","40088","0.333333333","9.78","6.94","92.5","0.2269","10.296","7.544","88.9","0.1252","8.543","7.87","92.6","0.4477"
"10/2/2009 9:00","40088.375","40088","0.375","9.952","8.519","89.8","0.2262","10.32","8.568","85.7","0.1245","8.841","8.941","89.3","0.4477"
"10/2/2009 10:00","40088.41667","40088","0.416666667","10.271","9.632","87.2","0.2262","10.394","9.534","84","0.1245","9.262","9.952","87.1","0.4477"
"10/2/2009 11:00","40088.45833","40088","0.458333333","10.59","10.369","83.5","0.2262","10.492","9.928","80.3","0.1245","9.706","10.541","83.4","0.4477"
"10/2/2009 12:00","40088.5","40088","0.5","10.858","10.687","81.3","0.2276","10.565","10.345","79.8","0.1238","10.149","10.638","83.4","0.4477"
"10/2/2009 13:00","40088.54167","40088","0.541666667","11.102","9.657","86.5","0.24","10.663","9.312","85.4","0.123","10.541","9.805","89.4","0.4499"
"10/2/2009 14:00","40088.58333","40088","0.583333333","11.224","9.534","90.2","0.2647","10.712","9.213","89.6","0.1238","10.663","9.657","92.9","0.4499"
"10/2/2009 15:00","40088.625","40088","0.625","11.273","9.435","91.5","0.285","10.736","9.262","90.8","0.2189","10.712","9.608","94.1","0.4513"
"10/2/2009 16:00","40088.66667","40088","0.666666667","11.248","10.026","92.4","0.3003","10.59","9.805","91.4","0.2552","10.712","10.222","94.8","0.4528"
"10/2/2009 17:00","40088.70833","40088","0.708333333","11.273","10.59","92.1","0.2974","10.516","10.418","91.5","0.2661","10.834","10.638","95.2","0.4513"
"10/2/2009 18:00","40088.75","40088","0.75","11.346","10.638","92.3","0.2915","10.687","10.467","91.3","0.2581","10.98","10.834","95.1","0.4513"
"10/2/2009 19:00","40088.79167","40088","0.791666667","11.419","11.005","93","0.2901","10.81","10.883","92","0.2618","11.102","11.175","95.7","0.4513"
"10/2/2009 20:00","40088.83333","40088","0.833333333","11.492","11.516","93.2","0.2843","10.932","10.956","92.3","0.2647","11.224","11.71","95.9","0.4513"
"10/2/2009 21:00","40088.875","40088","0.875","11.565","11.005","93.4","0.2901","11.029","11.224","92.6","0.2654","11.37","11.589","96.1","0.4513"
